Symbol,Nazwa,Kurs,Zmiana%,Zmiana,Wolumen,Data
PGEN.US,PRECIGEN,0.8901,-18.34%,-0.1999,5810000.0,13 lis
DXCM.US,DEXCOM,98.35,+4.57%,4.3,5730000.0,13 lis
SEEL.US,SEELOS THERAPEUTICS,0.1234,-14.96%,-0.0217,5720000.0,13 lis
WKHS.US,WORKHORSE GROUP,0.3999,+4.80%,0.0183,5650000.0,13 lis
MVST.US,MICROVAST HOLDINGS,1.26,-9.35%,-0.13,5590000.0,13 lis
HSCS.US,HEART TEST LABORATORIES,0.155,-1.65%,-0.0026,5570000.0,13 lis
EXC.US,EXELON,38.8,-1.60%,-0.63,5510000.0,13 lis
CPRT.US,Copart,48.34,-0.80%,-0.39,5470000.0,13 lis
MNKD.US,MANNKIND,3.54,+3.21%,0.11,5470000.0,13 lis
SNDL.US,SNDL,1.6,+11.89%,0.17,5450000.0,13 lis
METC.US,RAMACO RESOURCES,18.3,+4.75%,0.83,5430000.0,13 lis
PEP.US,PEPSICO,167.77,+0.51%,0.85,5400000.0,13 lis
XOS.US,XOS,0.41,+22.35%,0.0749,5370000.0,13 lis
FGEN.US,FIBROGEN,0.4154,+9.29%,0.0353,5220000.0,13 lis
ASRT.US,ASSERTIO HOLDINGS,1.04,-7.14%,-0.08,4930000.0,13 lis
PACB.US,PACIFIC BIOSCIENCES OF CALIFORNIA,6.44,-1.23%,-0.08,4800000.0,13 lis
LMDX.US,LUMIRADX,0.0909,-0.11%,-0.0001,4790000.0,13 lis
OTLY.US,OATLY GROUP AB,0.5,-7.41%,-0.04,4790000.0,13 lis
MQ.US,MARQETA,5.87,0.00%,0.0,4780000.0,13 lis
LAZR.US,LUMINAR TECHNOLOGIES,3.02,-5.03%,-0.16,4770000.0,13 lis
GILD.US,GILEAD SCIENCES,74.93,-1.30%,-0.99,4740000.0,13 lis
DDOG.US,DATADOG,104.25,+0.58%,0.6,4730000.0,13 lis
UPST.US,UPSTART HOLDINGS,21.84,+4.65%,0.97,4690000.0,13 lis
ZI.US,ZOOMINFO TECHNOLOGIES,12.55,-1.65%,-0.21,4640000.0,13 lis
AEP.US,AMERICAN ELECTRIC POWER,75.02,-3.45%,-2.68,4550000.0,13 lis
ARM.US,ARM HOLDINGS,51.69,-1.11%,-0.58,4520000.0,13 lis
PANW.US,Palo Alto Networks,255.64,+0.84%,2.13,4470000.0,13 lis
HST.US,HOST HOTELS & RESORTS,16.39,-0.12%,-0.02,4430000.0,13 lis
BZ.US,KANZHUN,15.03,+1.62%,0.24,4400000.0,13 lis
TXN.US,TEXAS INSTRUMENTS,145.87,-0.90%,-1.32,4350000.0,13 lis
GMBL.US,ESPORTS ENTERTAINMENT GROUP,0.0448,+5.16%,0.0022,4330000.0,13 lis
NWL.US,NEWELL BRANDS,6.67,-2.49%,-0.17,4250000.0,13 lis
